Year/Month/Day or Period,Event,Category,Economic/Market Impact (S&P 500),,,,,,,,,,,,,,,,,,,,,
2008-1-28,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-1-29,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-1-30,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-1-31,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-2-1,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-2-2,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-2-3,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-2-4,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-2-5,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-2-6,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-2-7,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-2-8,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-2-9,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-2-10,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-2-11,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-2-12,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-2-13,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-2-14,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-2-15,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-2-16,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-2-17,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-2-18,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-2-19,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-2-20,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-2-21,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-2-22,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-2-23,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-2-24,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-2-25,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-2-26,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-2-27,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-2-28,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-2-29,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-3-1,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-3-2,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-3-3,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-3-4,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-3-5,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-3-6,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-3-7,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-3-8,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-3-9,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-3-10,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-3-11,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-3-12,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-3-13,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-3-14,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-3-15,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-3-16,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-3-17,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-3-18,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-3-19,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-3-20,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-3-21,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-3-22,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-3-23,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-3-24,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-3-25,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-3-26,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-3-27,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-3-28,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-3-29,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-3-30,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-3-31,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-4-1,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-4-2,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-4-3,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-4-4,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-4-5,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-4-6,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-4-7,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-4-8,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-4-9,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-4-10,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-4-11,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-4-12,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-4-13,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-4-14,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-4-15,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-4-16,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-4-17,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-4-18,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-4-19,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-4-20,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-4-21,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-4-22,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-4-23,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-4-24,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-4-25,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-4-26,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-4-27,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-4-28,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-4-29,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-4-30,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-5-1,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-5-2,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-5-3,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-5-4,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-5-5,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-5-6,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-5-7,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-5-8,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-5-9,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-5-10,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-5-11,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-5-12,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-5-13,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-5-14,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-5-15,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-5-16,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-5-17,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-5-18,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-5-19,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-5-20,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-5-21,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-5-22,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-5-23,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-5-24,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-5-25,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-5-26,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-5-27,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-5-28,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-5-29,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-5-30,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-5-31,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-6-1,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-6-2,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-6-3,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-6-4,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-6-5,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-6-6,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-6-7,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-6-8,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-6-9,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-6-10,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-6-11,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-6-12,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-6-13,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-6-14,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-6-15,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-6-16,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-6-17,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-6-18,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-6-19,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-6-20,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-6-21,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-6-22,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-6-23,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-6-24,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-6-25,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-6-26,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-6-27,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-6-28,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-6-29,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-6-30,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-7-1,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-7-2,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-7-3,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-7-4,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-7-5,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-7-6,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-7-7,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-7-8,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-7-9,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-7-10,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-7-11,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-7-12,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-7-13,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-7-14,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-7-15,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-7-16,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-7-17,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-7-18,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-7-19,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-7-20,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-7-21,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-7-22,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-7-23,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-7-24,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-7-25,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-7-26,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-7-27,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-7-28,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-7-29,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-7-30,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-7-31,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
